seq,category,sub_category,code,name,uom,price,tax,website_category,website_sub_category
1,VEGETABLES & FRESH PRODUCE,Fresh Vegetables,UFS7169,AUBERGINE 1X5KG,item,15.99,0,Fresh Produce,Fresh Vegetables
2,VEGETABLES & FRESH PRODUCE,Fresh Vegetables,UFS7019,BABY AUBERGINE 1X4KG,g,17.89,0,Fresh Produce,Fresh Vegetables
3,VEGETABLES & FRESH PRODUCE,Fresh Vegetables,UFS7151,BUTTERNUT SQUASH 1X800G-1000G EACH,item,1.99,0,Fresh Produce,Fresh Vegetables
4,VEGETABLES & FRESH PRODUCE,Fresh Vegetables,UFS7170,BUTTERNUT SQUASH BOX 1X1 EACH,item,1.99,0,Fresh Produce,Fresh Vegetables
5,VEGETABLES & FRESH PRODUCE,Fresh Vegetables,UFS7171,TOMATOES VINE 1X5KG,item,12.3,0,Fresh Produce,Fresh Vegetables
6,FROZEN FOODS,Frozen Coconut Products,8002930,SHANA SHREDDED COCONUT 1X300G,g,2.26,0,Frozen Foods,Frozen Coconut Products
7,FROZEN FOODS,Frozen Coconut Products,8002352,VISWAS GRATED COCONUT 1X400G,g,2.6,0,Frozen Foods,Frozen Coconut Products
8,FROZEN FOODS,Frozen Coconut Products,UFS02,VISWAS GRATED COCONUT 32X400G,g,0.0,0,Frozen Foods,Frozen Coconut Products
9,FROZEN FOODS,Frozen Coconut Products,UFS212,VISWAS SLICED COCONUT 1X400G,g,3.2,0,Frozen Foods,Frozen Coconut Products
10,FROZEN FOODS,Frozen Fruits,8002611,MIX FRUIT (FROZEN) 1X500G,g,2.75,0,Frozen Foods,Frozen Fruits
11,FROZEN FOODS,Frozen Herbs & Leaves,8002454,FROZEN KAFFIR LIME LEAVES 1X100GM,g,2.49,0,Frozen Foods,Frozen Herbs & Leaves
12,FROZEN FOODS,Frozen Herbs & Leaves,8002353,KAFFIR LIME LEAVES 1X100GM,g,2.3,0,Frozen Foods,Frozen Herbs & Leaves
13,FROZEN FOODS,Frozen Meat & Poultry,8002899,ARMAAN CHICKEN SAMOOSA 1X18S,nos,4.35,0,Frozen Foods,Frozen Meat & Poultry
14,FROZEN FOODS,Frozen Meat & Poultry,8002614,CHICKEN FILLETS (FULLY COOKED HALAL) 18X110G,NOS,20.99,0,Frozen Foods,Frozen Meat & Poultry
15,FROZEN FOODS,Frozen Meat & Poultry,8002873,FROZEN HALAL NZ BONELESS LAMB LEG 1X1KG,kg,11.75,0,Frozen Foods,Frozen Meat & Poultry
16,FROZEN FOODS,Frozen Meat & Poultry,80021555,FROZEN HALAL SKINLESS BONELESS CHICKEN LEG MEAT 1X10KG,kg,39.99,0,Frozen Foods,Frozen Meat & Poultry
17,FROZEN FOODS,Frozen Meat & Poultry,80021554,FROZEN HALAL SKINLESS BONELESS CHICKEN LEG MEAT 1X2.5KG,kg,11.55,0,Frozen Foods,Frozen Meat & Poultry
18,FROZEN FOODS,Frozen Meat & Poultry,8002871,FROZEN HALAL SKINLESS BONELESS CHICKEN LEG MEAT 1X5KG,kg,22.75,0,Frozen Foods,Frozen Meat & Poultry
19,FROZEN FOODS,Frozen Meat & Poultry,8002874,FROZEN TOPSIDE PAD BEEF (CAP OFF) 1X1KG,kg,10.65,0,Frozen Foods,Frozen Meat & Poultry
20,FROZEN FOODS,Frozen Meat & Poultry,8002872,HALAL RAW FROZEN 70% CHICKEN BREAST FILLETS (250G) 1X10KG,kg,46.99,0,Frozen Foods,Frozen Meat & Poultry
21,FROZEN FOODS,Frozen Other,8002355,SANA FROZEN 1X BOX,g,33.89,0,Frozen Foods,Frozen Other
22,FROZEN FOODS,Frozen Other,8002939,VISWAS GREEN CUT MANGO 1X400G,g,2.65,0,Frozen Foods,Frozen Other
23,FROZEN FOODS,Frozen Snacks & Starters,8002615,5 INCH SEEDED BURGER BUNS 1X48 EACH,nos,14.89,0,Frozen Foods,Frozen Snacks & Starters
24,FROZEN FOODS,Frozen Snacks & Starters,8002616,BURGER CHEESE SLICES 1X112 EACH,nos,10.99,0,Frozen Foods,Frozen Snacks & Starters
25,FROZEN FOODS,Frozen Snacks & Starters,8002617,BURGER FISH CAKES (4OZ) 24X113G,item,15.69,0,Frozen Foods,Frozen Snacks & Starters
26,FROZEN FOODS,Frozen Snacks & Starters,8002354,FRENCH FRIES 1X2.27KG,kg,4.49,0,Frozen Foods,Frozen Snacks & Starters
27,FROZEN FOODS,Frozen Snacks & Starters,80021397,HALDIRAMS PUNJABI SAMOSA 12X650G,item,54.49,0,Frozen Foods,Frozen Snacks & Starters
28,FROZEN FOODS,Frozen Snacks & Starters,80021532,MALABAR TREAT FROZEN GURUVAYOOR PAPADAM 20X200G,g,36.14,0,Frozen Foods,Frozen Snacks & Starters
