category,sub_category,barcode,name,unit,price,tax,brand,description
FRAGRANCE,,80021360,CYCLE BRAND - AGARBAT1XEACH PACK,item,0.5,20.0,,CYCLE BRAND - AGARBAT1XEACH PACK
CANNED FOODS,Vegitables,UFS340,JOSH-BOILED CHICK PEAS WHITE 6X2.5KG,kg,18.49,0.0,,JOSH-BOILED CHICK PEAS WHITE 6X2.5KG
CANNED FOODS,Vegitables,UFS77,CHOPPED TOMATOES 6X2.5KG,kg,17.99,0.0,,CHOPPED TOMATOES 6X2.5KG
CANNED FOODS,Vegitables,UFS387,PLUM TOMATOES( PEELED TOMATOES) 6X2.5 Brand might change,kg,18.25,0.0,,PLUM TOMATOES( PEELED TOMATOES) 6X2.5 Brand might change
CANNED FOODS,Vegitables,UFS7094,TRS-CANNED BLACK EYE BEANS 12XUFS7094,item,7.7,0.0,,TRS-CANNED BLACK EYE BEANS 12XUFS7094
CANNED FOODS,Vegitables,UFS7129,TRS CANNED CHICK PEAS 12X400G,item,7.8,0.0,,TRS CANNED CHICK PEAS 12X400G
CANNED FOODS,Vegitables,8002338,CHAOKOH COCONUT MILK 6X2900MUFS399,item,49.49,0.0,,CHAOKOH COCONUT MILK 6X2900MUFS399
CANNED FOODS,Vegitables,8002450,TRS-RED KIDNEY BEANS 12X400G,g,8.75,0.0,,TRS-RED KIDNEY BEANS 12X400G
CANNED FOODS,Vegitables,8002465,TS- BLAK BEANS 12X400g,g,8.59,0.0,,TS- BLAK BEANS 12X400g
CANNED FOODS,Vegitables,8002494,CHOPPED TOMATO TINS 400GX12,g,8.89,0.0,,CHOPPED TOMATO TINS 400GX12
CANNED FOODS,Vegitables,8002500,WHITE KIDNEY BEANS 12X397G,g,8.99,0.0,,WHITE KIDNEY BEANS 12X397G
CANNED FOODS,Vegitables,8002609,PEELED PLUM TOMATOES (ITALIAN) 12X400GM,g,8.49,0.0,,PEELED PLUM TOMATOES (ITALIAN) 12X400GM
CANNED FOODS,Vegitables,8002649,JOSH - PLUM PEELED TOMATO 1X2JOSH BRAND,kg,3.75,0.0,,JOSH - PLUM PEELED TOMATO 1X2JOSH BRAND
CANNED FOODS,Vegitables,80021470,TS-BUTTER BEANS 12X400G,g,9.2,0.0,,TS-BUTTER BEANS 12X400G
CANNED FOODS,Vegitables,80021479,TS-RED KIDNEY BEANS 6X2.5KG,kg,26.6,0.0,,TS-RED KIDNEY BEANS 6X2.5KG
CANNED FOODS,Vegitables,80021480,GARDEN PEAS ( LOCAL LIVING ) 12X560G,g,13.27,0.0,,GARDEN PEAS ( LOCAL LIVING ) 12X560G
CANNED FOODS,Vegitables,80021490,CHOPPED TOMATO 1X2.5KG,kg,3.65,0.0,,CHOPPED TOMATO 1X2.5KG
CANNED FOODS,Fruits,UFS335,CIRIO SWEETCORN 6X2.1KG,kg,34.99,0.0,,CIRIO SWEETCORN 6X2.1KG
CANNED FOODS,Fruits,UFS50,TS-BREADFRUIT 24X540G,g,43.99,0.0,,TS-BREADFRUIT 24X540G
CANNED FOODS,Fruits,8002490,TRS- MANGO PULP ( KESAR ) 6X850G,g,15.49,0.0,,TRS- MANGO PULP ( KESAR ) 6X850G
CANNED FOODS,Fruits,8002505,MANGO SLICE 6X850G,g,26.99,0.0,,MANGO SLICE 6X850G
CANNED FOODS,Fruits,8002657,PINEAPPLE PIECES 1X3KG,kg,7.29,0.0,,PINEAPPLE PIECES 1X3KG
CANNED FOODS,Fruits,8002849,HEERA -MANGO PULP ( KESAR ) 6X850G,g,14.89,0.0,,HEERA -MANGO PULP ( KESAR ) 6X850G
CANNED FOODS,Fruits,80021478,LYCHEES IN SYRUP 24X567G,g,43.99,0.0,,LYCHEES IN SYRUP 24X567G
CANNED FOODS,Others,UFS225,TRS- GREEN JACKFRUIT TIN 12X565G,g,15.0,0.0,,TRS- GREEN JACKFRUIT TIN 12X565G
CANNED FOODS,Others,UFS244,CONDENSED MILK 12X397G TROPICAL SUN,g,18.98,0.0,,CONDENSED MILK 12X397G TROPICAL SUN
CANNED FOODS,Others,UFS367,HEERA -MANGO PULP( KESAR) 6X850G,g,14.49,0.0,,HEERA -MANGO PULP( KESAR) 6X850G
CANNED FOODS,Others,UFS67,TOMATO PAST 6X800G,g,16.6,0.0,,TOMATO PAST 6X800G
CANNED FOODS,Others,ufst,product ooq,g,45.0,20.0,,product ooq
CANNED FOODS,Others,8002372,CHAOKOH COCONUT MILK 6X 400ml,g,11.99,0.0,,CHAOKOH COCONUT MILK 6X 400ml
